"Date Printed: Tuesday, June 19, 2018 2:46:17 PM"
Title: AIDS deaths | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories
"Footnote(s): AIDS diagnoses and HIV diagnoses data for the year 2016 are preliminary and based on 6 months reporting delay. Therefore, trend data should only be viewed through the year 2015 to allow sufficient time (at least 12 months) for reporting of case information to accurately assess trends. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. Death data based on residence at death. Data adjusted for missing transmission category."
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"AIDS deaths","2010","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","117",2.8,"4,152,830"
"AIDS deaths","2007","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","125",3.1,"3,973,696"
"AIDS deaths","2011","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","106",2.5,"4,218,433"
"AIDS deaths","2015","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","100",2.2,"4,541,322"
"AIDS deaths","2000","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","116",3.3,"3,530,430"
"AIDS deaths","2005","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","137",3.6,"3,824,082"
"AIDS deaths","2004","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","127",3.4,"3,771,348"
"AIDS deaths","2006","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","129",3.3,"3,901,664"
"AIDS deaths","2008","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","93",2.3,"4,049,693"
"AIDS deaths","2009","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","116",2.8,"4,120,964"
"AIDS deaths","2005","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","265",9.2,"2,890,681"
"AIDS deaths","2013","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","98",2.2,"4,366,188"
"AIDS deaths","2001","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","299",10.6,"2,816,060"
"AIDS deaths","2003","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","306",10.7,"2,865,678"
"AIDS deaths","2004","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","298",10.3,"2,879,604"
"AIDS deaths","2002","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","303",10.7,"2,840,219"
"AIDS deaths","2007","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","249",8.5,"2,914,564"
"AIDS deaths","2009","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","213",7.2,"2,951,882"
"AIDS deaths","2011","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","180",5.9,"3,030,960"
"AIDS deaths","2012","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","175",5.8,"3,042,850"
"AIDS deaths","2013","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","158",5.2,"3,054,277"
"AIDS deaths","2014","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","163",5.3,"3,058,145"
"AIDS deaths","2015","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","153",5,"3,058,470"
"AIDS deaths","2000","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","318",11.4,"2,795,939"
"AIDS deaths","2006","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","228",7.8,"2,905,373"
"AIDS deaths","2008","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","231",7.9,"2,932,812"
"AIDS deaths","2010","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","187",6.2,"3,014,406"
"AIDS deaths","2014","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","71",9,"788,769"
"AIDS deaths","2002","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","87",13.1,"662,439"
"AIDS deaths","2004","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","91",13.3,"684,526"
"AIDS deaths","2003","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","107",15.9,"673,153"
"AIDS deaths","2009","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","71",9.6,"736,007"
"AIDS deaths","2011","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","58",7.6,"761,104"
"AIDS deaths","2001","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","93",14.2,"653,251"
"AIDS deaths","2007","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","83",11.5,"718,782"
"AIDS deaths","2013","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","63",8.1,"779,020"
"AIDS deaths","2015","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","55",6.9,"797,669"
"AIDS deaths","2012","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","74",9.6,"769,986"
"AIDS deaths","2000","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","99",15.3,"645,214"
"AIDS deaths","2006","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","97",13.7,"708,345"
"AIDS deaths","2010","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","62",8.2,"753,146"
"AIDS deaths","2005","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","103",14.8,"696,358"
"AIDS deaths","2008","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","75",10.3,"728,265"
"AIDS deaths","2005","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","340",68.2,"498,862"
"AIDS deaths","2015","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","193",33.4,"578,020"
"AIDS deaths","2014","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","174",30.5,"569,751"
"AIDS deaths","2000","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","367",75.6,"485,304"
"AIDS deaths","2003","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","380",77.3,"491,773"
"AIDS deaths","2004","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","370",74.7,"495,199"
"AIDS deaths","2002","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","345",70.2,"491,442"
"AIDS deaths","2008","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","291",57.3,"508,021"
"AIDS deaths","2009","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","235",45.5,"515,989"
"AIDS deaths","2001","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","362",73.9,"490,148"
"AIDS deaths","2007","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","322",63.8,"504,738"
"AIDS deaths","2013","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","169",30,"563,016"
"AIDS deaths","2011","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","236",43.5,"542,682"
"AIDS deaths","2006","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","323",64.4,"501,904"
"AIDS deaths","2010","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","235",44.3,"530,896"
"AIDS deaths","2012","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","194",35.1,"553,299"
"AIDS deaths","2005","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,354",15.7,"14,951,599"
"AIDS deaths","2000","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,345",17.5,"13,420,555"
"AIDS deaths","2003","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,354",16.5,"14,253,456"
"AIDS deaths","2013","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,681",10.1,"16,725,470"
"AIDS deaths","2002","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,305",16.5,"13,975,036"
"AIDS deaths","2004","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,407",16.5,"14,601,930"
"AIDS deaths","2009","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,949",12.5,"15,614,290"
"AIDS deaths","2014","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,672",9.8,"17,007,879"
"AIDS deaths","2011","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,735",10.7,"16,261,798"
"AIDS deaths","2015","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,714",9.9,"17,323,983"
"AIDS deaths","2001","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,197",16.1,"13,685,697"
"AIDS deaths","2008","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,113",13.6,"15,508,944"
"AIDS deaths","2006","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,408",15.8,"15,209,155"
"AIDS deaths","2007","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,230",14.5,"15,375,064"
"AIDS deaths","2010","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,730",10.8,"16,021,887"
"AIDS deaths","2012","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,692",10.3,"16,494,429"
"AIDS deaths","2000","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","812",12.2,"6,642,424"
"AIDS deaths","2010","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","742",9.4,"7,914,346"
"AIDS deaths","2013","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","657",8,"8,198,362"
"AIDS deaths","2003","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","767",10.9,"7,055,209"
"AIDS deaths","2004","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","836",11.6,"7,207,149"
"AIDS deaths","2014","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","737",8.9,"8,303,215"
"AIDS deaths","2002","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","747",10.8,"6,927,931"
"AIDS deaths","2005","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","852",11.6,"7,351,551"
"AIDS deaths","2011","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","662",8.3,"8,012,269"
"AIDS deaths","2015","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","636",7.6,"8,411,439"
"AIDS deaths","2001","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","828",12.2,"6,792,178"
"AIDS deaths","2009","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","823",10.4,"7,937,181"
"AIDS deaths","2006","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","811",10.8,"7,541,296"
"AIDS deaths","2007","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","839",10.9,"7,694,977"
"AIDS deaths","2008","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","764",9.8,"7,826,920"
"AIDS deaths","2012","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","677",8.3,"8,118,375"
"AIDS deaths","2000","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39",3.9,"998,603"
"AIDS deaths","2003","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","38",3.7,"1,029,175"
"AIDS deaths","2010","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","34",3,"1,144,086"
"AIDS deaths","2013","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","29",2.5,"1,178,829"
"AIDS deaths","2004","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","55",5.3,"1,042,212"
"AIDS deaths","2014","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","35",2.9,"1,188,205"
"AIDS deaths","2012","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","43",3.7,"1,166,294"
"AIDS deaths","2002","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","44",4.3,"1,018,047"
"AIDS deaths","2011","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","33",2.9,"1,154,741"
"AIDS deaths","2001","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39",3.9,"1,007,675"
"AIDS deaths","2005","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","29",2.7,"1,056,986"
"AIDS deaths","2015","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","23",1.9,"1,195,934"
"AIDS deaths","2006","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","37",3.5,"1,067,223"
"AIDS deaths","2007","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39",3.7,"1,068,448"
"AIDS deaths","2008","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","36",3.3,"1,077,785"
"AIDS deaths","2009","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","25",2.3,"1,083,032"
"AIDS deaths","2009","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9",0.7,"1,238,079"
"AIDS deaths","2013","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11",0.8,"1,301,676"
"AIDS deaths","2000","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12",1.2,"1,037,896"
