"Date Printed: Thursday, June 21, 2018 9:26:27 AM"
Title: HIV diagnoses | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | Male-to-male sexual contact | Injection drug use | Male-to-male sexual contact and injection drug use | Heterosexual contact | Other
"Footnote(s): AIDS diagnoses and HIV diagnoses data for the year 2016 are preliminary and based on 6 months reporting delay. Therefore, trend data should only be viewed through the year 2015 to allow sufficient time (at least 12 months) for reporting of case information to accurately assess trends. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. Death data based on residence at death. Data adjusted for missing transmission category."
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","21","Data not available","NA"
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3","Data not available","NA"
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","3","Data not available","NA"
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","11","Data not available","NA"
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","13","Data not available","NA"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","2","Data not available","NA"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1","Data not available","NA"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","11","Data not available","NA"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","14","Data not available","NA"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","0","Data not available","NA"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","2","Data not available","NA"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","9","Data not available","NA"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","12","Data not available","NA"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","4","Data not available","NA"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","0","Data not available","NA"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","8","Data not available","NA"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","26","Data not available","NA"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","0","Data not available","NA"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","2","Data not available","NA"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","9","Data not available","NA"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","12","Data not available","NA"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","1","Data not available","NA"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1","Data not available","NA"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","9","Data not available","NA"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","437","Data not available","NA"
"HIV diagnoses","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","50","Data not available","NA"
"HIV diagnoses","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","47","Data not available","NA"
"HIV diagnoses","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","86","Data not available","NA"
"HIV diagnoses","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","2","Data not available","NA"
"HIV diagnoses","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","434","Data not available","NA"
"HIV diagnoses","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","66","Data not available","NA"
"HIV diagnoses","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","46","Data not available","NA"
"HIV diagnoses","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","97","Data not available","NA"
"HIV diagnoses","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","418","Data not available","NA"
"HIV diagnoses","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","57","Data not available","NA"
"HIV diagnoses","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","35","Data not available","NA"
"HIV diagnoses","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","116","Data not available","NA"
"HIV diagnoses","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","465","Data not available","NA"
"HIV diagnoses","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","76","Data not available","NA"
"HIV diagnoses","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","50","Data not available","NA"
"HIV diagnoses","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","91","Data not available","NA"
"HIV diagnoses","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","519","Data not available","NA"
"HIV diagnoses","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","63","Data not available","NA"
"HIV diagnoses","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","45","Data not available","NA"
"HIV diagnoses","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","115","Data not available","NA"
"HIV diagnoses","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","3","Data not available","NA"
"HIV diagnoses","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","468","Data not available","NA"
"HIV diagnoses","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","60","Data not available","NA"
"HIV diagnoses","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","55","Data not available","NA"
"HIV diagnoses","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","113","Data not available","NA"
"HIV diagnoses","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","487","Data not available","NA"
"HIV diagnoses","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","65","Data not available","NA"
"HIV diagnoses","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","42","Data not available","NA"
"HIV diagnoses","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","101","Data not available","NA"
"HIV diagnoses","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","3","Data not available","NA"
"HIV diagnoses","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","367","Data not available","NA"
"HIV diagnoses","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","59","Data not available","NA"
"HIV diagnoses","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","39","Data not available","NA"
"HIV diagnoses","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","99","Data not available","NA"
"HIV diagnoses","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","554","Data not available","NA"
"HIV diagnoses","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","70","Data not available","NA"
"HIV diagnoses","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","38","Data not available","NA"
"HIV diagnoses","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","115","Data not available","NA"
"HIV diagnoses","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Other","2","Data not available","NA"
"HIV diagnoses","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","184","Data not available","NA"
"HIV diagnoses","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","10","Data not available","NA"
"HIV diagnoses","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","6","Data not available","NA"
"HIV diagnoses","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","62","Data not available","NA"
"HIV diagnoses","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","194","Data not available","NA"
"HIV diagnoses","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","13","Data not available","NA"
"HIV diagnoses","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","5","Data not available","NA"
"HIV diagnoses","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","58","Data not available","NA"
"HIV diagnoses","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","2","Data not available","NA"
"HIV diagnoses","2009","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","190","Data not available","NA"
"HIV diagnoses","2009","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","24","Data not available","NA"
"HIV diagnoses","2009","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","13","Data not available","NA"
"HIV diagnoses","2009","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","58","Data not available","NA"
"HIV diagnoses","2009","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","2","Data not available","NA"
"HIV diagnoses","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","184","Data not available","NA"
"HIV diagnoses","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","12","Data not available","NA"
"HIV diagnoses","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","10","Data not available","NA"
"HIV diagnoses","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","44","Data not available","NA"
"HIV diagnoses","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","232","Data not available","NA"
"HIV diagnoses","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","19","Data not available","NA"
"HIV diagnoses","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","10","Data not available","NA"
"HIV diagnoses","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","46","Data not available","NA"
"HIV diagnoses","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2008","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","171","Data not available","NA"
"HIV diagnoses","2008","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","18","Data not available","NA"
"HIV diagnoses","2008","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","13","Data not available","NA"
"HIV diagnoses","2008","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","45","Data not available","NA"
"HIV diagnoses","2008","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","160","Data not available","NA"
"HIV diagnoses","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","18","Data not available","NA"
"HIV diagnoses","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","14","Data not available","NA"
"HIV diagnoses","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","41","Data not available","NA"
"HIV diagnoses","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","174","Data not available","NA"
"HIV diagnoses","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","11","Data not available","NA"
"HIV diagnoses","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","5","Data not available","NA"
"HIV diagnoses","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","52","Data not available","NA"
"HIV diagnoses","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2016","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","235","Data not available","NA"
"HIV diagnoses","2016","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","10","Data not available","NA"
"HIV diagnoses","2016","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","11","Data not available","NA"
"HIV diagnoses","2016","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","58","Data not available","NA"
"HIV diagnoses","2016","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2009","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","3,981","Data not available","NA"
"HIV diagnoses","2009","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","369","Data not available","NA"
"HIV diagnoses","2009","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","355","Data not available","NA"
"HIV diagnoses","2009","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","732","Data not available","NA"
"HIV diagnoses","2009","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Other","2","Data not available","NA"
"HIV diagnoses","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","3,939","Data not available","NA"
"HIV diagnoses","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","256","Data not available","NA"
"HIV diagnoses","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","259","Data not available","NA"
"HIV diagnoses","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","599","Data not available","NA"
"HIV diagnoses","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Other","3","Data not available","NA"
"HIV diagnoses","2013","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","3,634","Data not available","NA"
